x,y,z
0.064467,-1.119635,0.300217
0.523883,0.004288,0.346381
0.444162,0.023972,0.333250
0.618503,0.312862,0.381916
-0.021557,-0.849000,0.227533
-0.892332,-0.903736,-0.082841
-0.460149,1.306618,-0.043487
-1.310873,-1.098930,-0.075959
-0.710491,0.655439,-0.100462
-0.452418,1.278817,-0.036455
-0.521339,1.377250,-0.088529
-1.084698,-0.999576,-0.029546
1.053887,-1.227372,0.625991
1.236970,-0.949844,0.645754
1.237810,-0.758552,0.599221
0.992107,-0.634380,0.555277
0.579027,-0.390632,0.389695
1.010253,-0.323744,0.485206
-1.890281,-0.378311,-0.363805
1.099581,-1.390278,0.641161
1.045059,-1.106271,0.610389
1.044544,-1.108680,0.611716
0.877039,-1.361116,0.587486
0.919121,-1.233273,0.583070
0.885432,-1.008062,0.574331
0.879867,-1.003625,0.566577
0.636959,-1.332648,0.512894
0.684809,-0.817260,0.486629
0.207753,-0.692804,0.288145
0.303829,-0.534963,0.306247
0.101578,-1.390174,0.361984
-0.139415,-0.381984,0.152058
-0.152472,-0.371325,0.143254
-0.173986,-0.357036,0.131492
-0.747646,-1.160906,0.022570
-1.038884,-0.717114,-0.091288
1.007695,-0.323916,0.519601
1.207054,-1.016311,0.646037
-0.520526,2.277265,0.091646
0.684934,-1.408936,0.526944
0.090048,-1.389955,0.355526
-2.125275,-0.277247,-0.381321
1.993113,-2.875707,1.006823
2.524496,-2.878382,1.071749
2.176917,-2.948898,1.005713
2.202059,-3.078105,1.021545
2.116854,-2.996224,1.006384
2.497439,-3.003020,1.055725
2.451491,-3.053416,1.051076
1.991118,-3.190674,0.985693
1.991290,-3.176845,0.995069
2.652972,-3.093785,1.101116
2.295862,-3.408004,1.055154
2.167132,-3.300025,1.019924
2.421788,-3.271292,1.036831
1.957272,-3.280748,0.981756
1.552986,-3.521208,0.977403
2.165063,-3.270549,1.037298
2.701323,-3.293577,1.149458
2.965962,-3.428226,1.190410
2.562163,-3.385453,1.077725
2.758002,-3.361192,1.121967
2.713959,-3.705657,1.065096
2.049146,-3.576480,1.023313
2.551777,-3.527823,1.117677
2.710145,-3.639402,1.140974
2.891310,-3.785483,1.214455
2.499758,-3.863324,1.105214
1.884038,-3.675514,1.014186
1.917735,-3.725537,1.093560
1.358061,-3.848864,0.970650
2.417749,-3.550005,1.196607
1.699402,-4.008577,1.046798
3.288552,-3.878380,1.314941
2.898941,-3.829988,1.202752
1.904938,-3.885260,1.059877
2.860554,-4.078047,1.265015
2.456348,-4.166129,1.186852
2.455720,-4.120647,1.193132
3.140843,-4.100276,1.352184
0.958977,-4.357272,0.982007
2.053216,-4.270464,1.135105
2.986693,-4.332084,1.291567
1.380516,-4.505274,1.071119
3.374216,-4.418568,1.429297
3.060867,-4.431400,1.366811
3.206486,-4.236064,1.339926
3.202213,-4.239404,1.337220
