x,y,z
-2.760997,-1.496964,-1.296509
-2.698103,-1.439625,-1.296091
-3.733725,-1.364995,-1.291669
-2.575083,-1.395896,-1.298699
-3.238133,-1.321756,-1.289151
-2.922848,-1.328753,-1.264039
-2.684134,-1.317232,-1.265518
-2.564008,-1.327017,-1.285739
-2.065552,-1.329035,-1.253372
-3.812492,-1.299295,-1.276351
-2.729084,-1.280336,-1.289685
-2.368553,-1.298169,-1.265638
-2.482223,-1.234342,-1.292318
-2.507981,-1.169732,-1.292356
-2.429096,-1.184208,-1.297069
-3.017141,-1.121768,-1.288317
-2.753187,-1.114382,-1.288736
-2.350867,-1.133785,-1.281289
-2.314152,-1.095966,-1.282050
-2.634756,-1.036366,-1.285891
-2.706199,-0.967261,-1.294642
-2.294277,-0.969681,-1.285563
-3.056009,-0.931893,-1.265969
-2.400836,-0.942607,-1.276317
-2.470227,-0.878905,-1.273397
-2.177442,-0.877979,-1.276732
-1.917860,-0.862845,-1.277318
-3.168017,-0.849413,-1.289601
-2.287593,-0.846083,-1.271646
-2.924473,-0.767189,-1.264968
-2.210717,-0.799433,-1.251251
-2.278589,-0.745691,-1.291324
-2.657794,-0.679452,-1.267386
-2.441604,-0.633936,-1.271329
-2.372397,-0.611699,-1.296327
-2.950628,-0.363341,-1.264867
-2.638839,-0.386902,-1.294717
-2.036030,-0.356158,-1.294368
-2.234462,-0.310163,-1.254614
-1.956739,-0.318766,-1.265968
-2.588043,-0.254824,-1.296958
-1.903216,-0.278456,-1.259405
-3.159833,-0.245133,-1.296254
-2.542866,-0.207060,-1.282281
-2.078653,-0.224564,-1.262874
-1.857970,-0.237390,-1.259612
-2.472369,-0.167536,-1.275568
-2.354570,-0.151877,-1.280903
-4.174838,-0.103291,-1.252612
-2.384441,-0.129442,-1.253611
-2.164376,-0.081995,-1.267291
-2.497077,-0.036913,-1.264932
-4.223068,0.042540,-1.252164
-2.227715,0.015529,-1.298937
-2.010710,0.001133,-1.294359
-3.060664,0.080144,-1.265036
-2.569510,0.052884,-1.281456
-2.168270,0.054404,-1.290648
-2.088365,0.088891,-1.263227
-2.632143,0.139283,-1.289154
-2.027520,0.125404,-1.251487
